I,Q
-0.019845,-0.053097
-0.0028427,-0.000026994
0.020397,0.02609
0.012087,0.028083
-0.015025,-0.036174
-0.016503,-0.044046
0.032799,-0.022477
-0.018782,0.023345
-0.0049701,0.046672
0.015849,0.015939
-0.0047219,-0.046061
0.0041964,-0.031722
0.042243,-0.048617
-0.0084824,-0.0012445
0.0065357,-0.0062007
0.030382,0.014085
0.016301,0.07472
-0.013643,0.014578
0.03826,0.06173
0.041053,0.054045
-0.029331,-0.041859
-0.022148,0.04141
0.010669,0.00092361
-0.0035597,-0.045743
-0.019308,0.032946
0.025855,0.025526
0.0028036,-0.024195
0.0015624,0.031749
-0.0065059,-0.024921
-0.025952,-0.068745
-0.010599,0.011677
0.021016,0.014419
-0.015448,-0.0068095
-0.014511,0.023798
-0.03547,0.039333
0.01083,0.015089
0.019525,0.027543
0.0037125,0.01648
-0.03248,-0.018265
-0.0041844,-0.031871
-0.0010275,-0.028425
-0.051212,0.038412
0.0049915,0.011872
0.0097226,-0.037939
0.033645,-0.051682
0.00080086,0.01078
0.0056543,-0.0028989
0.025979,0.033541
-0.020666,-0.018929
-0.0069873,-0.030174
-0.0065788,0.026669
-0.015657,-0.0096021
0.0091076,-0.0091681
0.017394,0.010893
0.04432,0.042924
-0.011759,0.0034861
-0.038744,-0.0036037
-0.011695,0.0091277
-0.0053651,0.02157
0.0028614,0.041443
0.018125,-0.019282
0.041827,0.031202
0.0022955,0.025116
0.0029108,-0.044896
-0.023387,-0.00018413
0.0037179,0.034623
-0.029511,0.059495
-0.049004,0.059362
0.021191,-0.0088413
-0.019309,0.00057955
0.003444,-0.0016571
-0.0090124,-0.048496
-0.003586,-0.0060614
-0.0015666,-0.023107
0.043983,0.016382
-0.0014262,-0.024818
0.00065065,0.022612
-0.0129,-0.0069277
0.026267,-0.046284
-0.045415,0.030896
-0.011063,-0.014579
0.0067812,0.0012488
-0.0058729,0.052432
0.021918,-0.0081121
-0.0048543,-0.038525
-0.050624,-0.050664
-0.039925,0.0060755
-0.019938,0.038546
0.030513,0.028929
-0.0068551,-0.0059646
-0.042445,-0.023262
-0.0072163,-0.0058644
0.02153,0.029083
-0.025329,-0.016572
-0.0085222,0.0047296
0.043709,0.00080692
0.04421,-0.0054866
0.028157,0.022769
0.011127,0.05598
0.0028556,0.026177
-0.0094635,-0.013377
-0.020155,-0.041138
-0.024096,-0.021761
0.030676,0.0255
0.020934,-0.0059738
-0.0047733,-0.020817
-0.023814,-0.008317
-0.023397,-0.012699
0.025041,0.0061638
0.055139,0.0072982
0.011321,-0.012562
0.0086258,0.019122
-0.017885,0.02525
-0.038603,0.000952
-0.0093777,-0.057275
0.0088738,-0.014552
-0.022829,-0.024432
-0.016276,0.022304
0.016141,0.025387
0.0049925,0.0097658
0.034141,0.000019766
0.011366,-0.011432
0.011651,0.016468
-0.022482,-0.027438
-0.0052113,-0.018274
0.034339,0.011316
0.014361,-0.055456
-0.03009,0.013737
-0.016666,-0.038192
0.029812,-0.030554
0.037899,0.022566
-0.016629,-0.0036562
-0.0094455,0.054379
0.020081,0.062342
0.037335,0.021891
-0.053617,-0.020357
-0.069131,-0.012423
-0.013427,-0.030249
-0.054093,-0.045108
0.0062026,-0.030394
-0.063109,-0.014676
-0.010086,0.0074802
0.0041927,0.0020359
0.023704,0.025489
-0.0012908,0.0037653
-0.018409,-0.0077722
-0.025087,0.0059718
0.0014827,-0.034146
0.0074865,-0.014767
0.017189,0.018419
-0.021566,0.000087972
-0.0015576,-0.015064
-0.040057,-0.037951
-0.038661,-0.011247
-0.018572,0.023019
0.013778,-0.024143
0.0038807,-0.021787
0.045483,0.011591
0.042321,0.019912
0.0021412,-0.0073695
0.02261,0.02117
-0.038897,0.018032
0.015567,0.031142
0.056114,-0.010138
0.016915,-0.0037513
-0.0044306,0.011093
-0.02188,-0.028075
-0.069917,0.014089
-0.0017455,0.028071
0.04753,0.034436
-0.039618,0.025382
0.01932,0.0048841
0.053986,-0.0057447
-0.024727,-0.013434
-0.032366,-0.006654
-0.019857,0.042735
0.0056036,-0.015707
0.027259,-0.0050007
0.027845,0.030944
0.018409,-0.034391
0.012504,-0.043532
-0.046069,0.0065712
-0.023947,-0.0079961
0.025705,-0.0014288
-0.0010051,-0.045319
0.031341,0.021312
0.003034,-0.010759
-0.026546,-0.01373
0.014007,-0.12024
0.3746,0.23779
-0.25884,1.1438
-0.71235,-0.47358
-0.22528,-1.302
-0.21035,-1.2323
-0.49564,-0.89109
-0.43265,0.80547
0.28936,0.53846
-0.30508,-0.2712
-0.92062,0.47901
0.55669,0.32843
1.2831,-0.11467
1.2539,-0.16341
1.0289,0.23885
-0.6543,0.77362
-0.74123,-0.23237
0.53614,0.085926
-0.10759,1.1201
-0.72672,-0.37574
-0.36611,-1.2382
-0.36387,-1.1892
-0.55595,-0.84989
-0.277,0.83794
0.37005,0.4991
-0.27071,-0.21111
-0.85393,0.60167
0.57019,0.25689
1.1991,-0.21561
1.1785,-0.302
1.0215,0.12144
